Start\Force,0,1,2,3,4,5,6,7,8
0,05 00 00 00 00 00 00 00,21 ff 03 00 00 00 00 00,21 ff 03 49 92 24 09 00,21 ff 03 92 24 49 12 00,21 ff 03 db b6 6d 1b 00,21 ff 03 24 49 92 24 00,21 ff 03 6d db b6 2d 00,21 ff 03 b6 6d db 36 00,21 ff 03 ff ff ff 3f 00
1,05 00 00 00 00 00 00 00,21 fe 03 00 00 00 00 00,21 fe 03 48 92 24 09 00,21 fe 03 90 24 49 12 00,21 fe 03 d8 b6 6d 1b 00,21 fe 03 20 49 92 24 00,21 fe 03 68 db b6 2d 00,21 fe 03 b0 6d db 36 00,21 fe 03 f8 ff ff 3f 00
2,05 00 00 00 00 00 00 00,21 fc 03 00 00 00 00 00,21 fc 03 40 92 24 09 00,21 fc 03 80 24 49 12 00,21 fc 03 c0 b6 6d 1b 00,21 fc 03 00 49 92 24 00,21 fc 03 40 db b6 2d 00,21 fc 03 80 6d db 36 00,21 fc 03 c0 ff ff 3f 00
3,05 00 00 00 00 00 00 00,21 f8 03 00 00 00 00 00,21 f8 03 00 92 24 09 00,21 f8 03 00 24 49 12 00,21 f8 03 00 b6 6d 1b 00,21 f8 03 00 48 92 24 00,21 f8 03 00 da b6 2d 00,21 f8 03 00 6c db 36 00,21 f8 03 00 fe ff 3f 00
4,05 00 00 00 00 00 00 00,21 f0 03 00 00 00 00 00,21 f0 03 00 90 24 09 00,21 f0 03 00 20 49 12 00,21 f0 03 00 b0 6d 1b 00,21 f0 03 00 40 92 24 00,21 f0 03 00 d0 b6 2d 00,21 f0 03 00 60 db 36 00,21 f0 03 00 f0 ff 3f 00
5,05 00 00 00 00 00 00 00,21 e0 03 00 00 00 00 00,21 e0 03 00 80 24 09 00,21 e0 03 00 00 49 12 00,21 e0 03 00 80 6d 1b 00,21 e0 03 00 00 92 24 00,21 e0 03 00 80 b6 2d 00,21 e0 03 00 00 db 36 00,21 e0 03 00 80 ff 3f 00
6,05 00 00 00 00 00 00 00,21 c0 03 00 00 00 00 00,21 c0 03 00 00 24 09 00,21 c0 03 00 00 48 12 00,21 c0 03 00 00 6c 1b 00,21 c0 03 00 00 90 24 00,21 c0 03 00 00 b4 2d 00,21 c0 03 00 00 d8 36 00,21 c0 03 00 00 fc 3f 00
7,05 00 00 00 00 00 00 00,21 80 03 00 00 00 00 00,21 80 03 00 00 20 09 00,21 80 03 00 00 40 12 00,21 80 03 00 00 60 1b 00,21 80 03 00 00 80 24 00,21 80 03 00 00 a0 2d 00,21 80 03 00 00 c0 36 00,21 80 03 00 00 e0 3f 00
8,05 00 00 00 00 00 00 00,21 00 03 00 00 00 00 00,21 00 03 00 00 00 09 00,21 00 03 00 00 00 12 00,21 00 03 00 00 00 1b 00,21 00 03 00 00 00 24 00,21 00 03 00 00 00 2d 00,21 00 03 00 00 00 36 00,21 00 03 00 00 00 3f 00
9,05 00 00 00 00 00 00 00,21 00 02 00 00 00 00 00,21 00 02 00 00 00 08 00,21 00 02 00 00 00 10 00,21 00 02 00 00 00 18 00,21 00 02 00 00 00 20 00,21 00 02 00 00 00 28 00,21 00 02 00 00 00 30 00,21 00 02 00 00 00 38 00
